"Date","Time","Open","High","Low","Close","Volume"
11/09/2020,0930,120.5,120.9,120.25,120.71,3496776
11/09/2020,0931,120.7,121.34,120.66,121.24,1209472
11/09/2020,0932,121.26,121.63,121.11,121.55,987032
11/09/2020,0933,121.56,121.69,120.39,120.53,991030
11/09/2020,0934,120.54,120.55,119.9,119.91,811196
11/09/2020,0935,119.9,120.02,119.65,119.67,548191
11/09/2020,0936,119.68,120.23,119.57,119.94,688100
11/09/2020,0937,119.92,120.04,119.68,119.84,370577
11/09/2020,0938,119.81,119.82,119.34,119.44,517248
11/09/2020,0939,119.44,119.48,119.02,119.1,444680
11/09/2020,0940,119.09,119.2,118.79,119.13,686170
11/09/2020,0941,119.12,119.41,118.79,118.96,601197
11/09/2020,0942,118.96,119.05,118.6,118.63,503193
11/09/2020,0943,118.62,118.9,118.48,118.66,525235
11/09/2020,0944,118.67,119.42,118.61,119.38,535376
11/09/2020,0945,119.38,119.69,119.22,119.58,783387
11/09/2020,0946,119.56,120.03,119.36,119.96,685739
11/09/2020,0947,119.95,120.34,119.82,120.2,618631
11/09/2020,0948,120.2,120.56,120.11,120.56,575694
11/09/2020,0949,120.55,120.55,120.08,120.27,489352
11/09/2020,0950,120.27,120.58,120.07,120.41,462874
11/09/2020,0951,120.4,120.4,119.35,119.41,700873
11/09/2020,0952,119.42,119.85,119.38,119.4,536197
11/09/2020,0953,119.42,119.51,119.23,119.41,577683
11/09/2020,0954,119.39,119.76,119.32,119.65,462718
11/09/2020,0955,119.65,119.65,119.33,119.36,314091
11/09/2020,0956,119.37,119.5,119.25,119.28,428460
11/09/2020,0957,119.28,119.37,118.99,119.28,540283
11/09/2020,0958,119.29,119.7,119.22,119.7,329788
11/09/2020,0959,119.69,119.89,119.6,119.74,379264
11/09/2020,1000,119.73,120.2,119.67,120.14,573997
11/09/2020,1001,120.14,120.38,120.02,120.3,512175
11/09/2020,1002,120.3,120.55,120.1,120.53,575643
11/09/2020,1003,120.53,120.81,120.46,120.67,545828
11/09/2020,1004,120.69,120.98,120.68,120.89,444217
11/09/2020,1005,120.9,120.96,120.66,120.67,447018
11/09/2020,1006,120.66,120.93,120.63,120.72,390986
11/09/2020,1007,120.72,120.8,120.4,120.53,416260
11/09/2020,1008,120.53,120.58,120.35,120.5,295869
11/09/2020,1009,120.49,120.68,120.36,120.62,329599
11/09/2020,1010,120.61,120.8,120.5,120.76,364488
11/09/2020,1011,120.77,120.9,120.58,120.65,322658
11/09/2020,1012,120.66,120.95,120.65,120.92,458373
11/09/2020,1013,120.9,120.93,120.76,120.91,419552
11/09/2020,1014,120.9,120.93,120.73,120.86,257949
11/09/2020,1015,120.88,121.22,120.84,120.99,897463
11/09/2020,1016,120.97,121.24,120.94,121.19,487796
